state_rank,neet_rank,neet_roll_no,gender,category,PH,score
1,137,4608030417,Male,General,No,711
2,215,4201100541,Male,General,No,710
3,217,4201500136,Female,OBC-(NCL) As Per Central List,No,710
4,219,4201020831,Male,ST,No,710
5,257,4208080005,Male,OBC-(NCL) As Per Central List,No,710
6,357,4201420331,Male,General,No,710
7,392,4201310075,Male,General,No,707
8,403,4201070503,Male,General,No,706
9,418,4205050328,Male,OBC-(NCL) As Per Central List,No,706
10,463,4201060733,Male,General,No,705
11,464,4201300337,Male,Gen-EWS,No,705
12,530,4201130106,Female,General,No,705
13,549,4201090075,Male,General,No,705
14,553,4201280763,Male,ST,No,705
15,621,4201130338,Female,General,No,705
16,649,4201420258,Male,General,No,705
17,710,4201350260,Male,General,No,705
18,733,4201150039,Female,General,No,705
19,908,4201010159,Male,General,No,701
20,945,4201050476,Male,OBC-(NCL) As Per Central List,No,701
21,1043,4201270796,Male,General,No,700
22,1045,4201350365,Female,General,No,700
23,1051,4201010595,Female,General,No,700
24,1062,4201040886,Male,General,No,700
25,1082,4219070216,Male,General,No,700
26,1113,4201060257,Female,General,No,700
27,1147,4219030147,Male,General,No,700
28,1157,4201270749,Female,General,No,700
29,1189,4201040318,Female,General,No,700
30,1198,4219040132,Female,Gen-EWS,No,700
31,1276,4201130542,Male,OBC-(NCL) As Per Central List,No,700
32,1385,4201070087,Male,OBC-(NCL) As Per Central List,No,700
33,1417,4201480260,Male,General,No,700
34,1446,4201290404,Female,OBC-(NCL) As Per Central List,No,700
35,1447,4201260162,Male,General,No,700
36,1455,2708080057,Male,General,No,700
37,1459,4208020749,Male,SC,No,700
38,1561,4201460359,Male,General,No,700
39,1624,4204020027,Male,OBC-(NCL) As Per Central List,No,700
40,1625,4201360413,Male,General,No,700
41,1664,4201060760,Male,General,No,698
42,1785,4204040249,Female,General,No,696
43,1818,4201180095,Female,General,No,696
44,1858,4201050753,Male,OBC-(NCL) As Per Central List,No,696
45,1870,4201080305,Female,General,No,696
46,1940,4201380470,Female,Gen-EWS,No,695
47,1994,4201460041,Male,General,No,695
48,2021,4203050085,Male,OBC-(NCL) As Per Central List,No,695
49,2088,4201480280,Female,General,No,695
50,2139,4201031089,Male,General,No,695
51,2141,4204020346,Male,General,No,695
52,2150,4208080100,Female,General,No,695
53,2208,4201280061,Female,General,No,695
54,2245,4208050420,Female,OBC-(NCL) As Per Central List,No,695
55,2277,4219010639,Male,OBC-(NCL) As Per Central List,No,695
56,2389,4201090482,Male,General,No,695
57,2723,4201030075,Male,Gen-EWS,No,693
58,2935,4201400274,Male,Gen-EWS,No,691
59,3077,4201480130,Male,General,No,691
60,3209,4219040138,Male,OBC-(NCL) As Per Central List,No,690
61,3230,4201100055,Female,Gen-EWS,No,690
62,3255,4202020409,Male,OBC-(NCL) As Per Central List,No,690
63,3329,4206070105,Male,Gen-EWS,No,690
64,3357,4208030110,Male,SC,No,690
65,3410,4201470276,Female,General,No,690
66,3427,4208020978,Male,General,No,690
67,3468,4201170406,Male,Gen-EWS,No,690
68,3517,4201350055,Female,General,No,690
69,3566,4223010336,Male,OBC-(NCL) As Per Central List,No,690
70,3602,4201390284,Male,General,No,690
71,3677,4201010260,Female,General,No,690
72,3744,4201031098,Female,General,No,690
73,3747,4201030973,Female,OBC-(NCL) As Per Central List,No,690
74,3846,4201060043,Male,General,No,690
75,3934,4201300054,Male,General,No,690
76,3973,4201150201,Female,General,No,690
77,4247,4201450292,Female,General,No,687
78,4370,4201140537,Male,OBC-(NCL) As Per Central List,No,686
79,4416,4201360017,Male,Gen-EWS,No,686
80,4432,4219050184,Male,General,No,686
81,4445,4201340031,Male,OBC-(NCL) As Per Central List,No,686
82,4452,4219030065,Female,Gen-EWS,No,686
83,4502,4202040346,Male,General,No,686
84,4508,4202020542,Female,Gen-EWS,No,686
85,4526,4219020474,Female,OBC-(NCL) As Per Central List,No,686
86,4535,4219070021,Female,General,No,686
87,4544,4201100285,Male,OBC-(NCL) As Per Central List,No,686
88,4588,4201030685,Female,General,No,686
89,4605,3905350313,Female,General,No,686
90,4822,4201290254,Female,OBC-(NCL) As Per Central List,No,685
91,4860,4201250254,Male,General,No,685
92,4876,4201430395,Male,General,No,685
93,4924,4201040108,Female,OBC-(NCL) As Per Central List,No,685
94,4952,4201300436,Male,General,No,685
95,4985,4201440455,Female,General,No,685
96,5008,4201240144,Female,General,No,685
97,5030,4204010481,Male,General,No,685
98,5032,4201020268,Female,Gen-EWS,No,685
99,5070,4201040596,Female,OBC-(NCL) As Per Central List,No,685
100,5085,4201440438,Female,General,No,685
101,5186,4201160261,Male,General,No,685
102,5200,4204040167,Male,General,No,685
103,5358,4208090053,Male,OBC-(NCL) As Per Central List,No,685
104,5487,3115230253,Male,OBC-(NCL) As Per Central List,No,685
105,5647,3903250656,Female,OBC-(NCL) As Per Central List,No,685
106,5860,4201480273,Female,General,No,683
107,5993,4201350478,Male,General,No,683
108,6079,4201420280,Female,General,No,682
109,6104,4219030014,Female,General,No,682
110,6170,4201110135,Male,OBC-(NCL) As Per Central List,No,682
111,6513,4201280772,Male,ST,No,681
112,6551,4201160007,Female,General,No,681
113,6582,4201140093,Male,General,No,681
114,6728,4201030958,Male,General,No,681
115,6849,4201290383,Female,General,No,680
116,6860,4219030282,Female,Gen-EWS,No,680
117,6932,4219020235,Male,General,No,680
118,7002,4204020371,Male,General,No,680
119,7008,4208040328,Male,General,No,680
120,7052,4201340032,Male,ST,No,680
121,7127,4219040151,Female,General,No,680
122,7161,4201120060,Male,OBC-(NCL) As Per Central List,No,680
123,7210,4201210229,Male,General,No,680
124,7236,4201270860,Male,General,No,680
125,7239,4219080120,Female,OBC-(NCL) As Per Central List,No,680
126,7260,4208030195,Female,OBC-(NCL) As Per Central List,No,680
127,7312,4201320089,Male,OBC-(NCL) As Per Central List,No,680
128,7404,4201400417,Female,General,No,680
129,7461,4201210326,Male,General,No,680
130,7481,4201020943,Male,General,No,680
131,7510,4201460357,Male,General,No,680
132,7632,4208020329,Male,Gen-EWS,No,680
133,7643,4221040085,Male,Gen-EWS,No,680
134,7949,4201310201,Female,General,No,679
135,7983,4201230298,Male,General,No,679
136,8106,4219100040,Female,OBC-(NCL) As Per Central List,No,678
137,8138,4204010064,Female,General,No,678
138,8226,4201330068,Female,General,No,678
139,8333,4208090218,Male,OBC-(NCL) As Per Central List,No,677
140,8632,4201031093,Male,General,No,676
141,8663,4201390464,Male,OBC-(NCL) As Per Central List,No,676
142,8664,4208010842,Male,OBC-(NCL) As Per Central List,No,676
143,8697,4208010038,Male,ST,No,676
144,8988,4221050344,Female,SC,No,676
145,9169,1205050288,Male,OBC-(NCL) As Per Central List,No,675
146,9171,4219090255,Male,General,No,675
147,9182,4201040159,Male,General,No,675
148,9233,4201180212,Male,General,No,675
149,9276,4204020096,Male,General,No,675
150,9323,4201310060,Female,OBC-(NCL) As Per Central List,No,675
151,9533,4201030498,Male,General,No,675
152,9591,4201070738,Female,OBC-(NCL) As Per Central List,No,675
153,9610,4221040169,Male,ST,No,675
154,9792,4201170417,Male,General,No,675
155,9794,4201080083,Male,OBC-(NCL) As Per Central List,No,675
156,9812,4201370131,Male,General,No,675
157,9838,4204020479,Male,General,No,675
158,9861,4201330072,Male,General,No,675
159,9939,4201160225,Female,SC,No,675
160,10502,4201031070,Female,General,No,673
161,10621,2801150347,Female,General,No,673
162,10735,4215010070,Female,OBC-(NCL) As Per Central List,No,673
163,10811,4219080152,Female,OBC-(NCL) As Per Central List,No,672
164,10838,4201410080,Female,General,No,672
165,10843,4201360421,Male,General,No,672
166,10859,4201320289,Female,Gen-EWS,No,672
167,10963,4201370395,Female,General,No,672
168,11299,4201130562,Male,General,No,671
169,11346,4204020307,Female,General,No,671
